SRC ROW,Key,ShortKey,Source,Row,Module,Field,Character,CN,TH,,,,,
20084,LanguageConfig_MainInterface_Btn_Arena_CN,aGPY,d多语言_LanguageConfig_C.csv,316,LanguageConfig,CN,,幕间演习,ฉากคั่น,,,,,
20080,LanguageConfig_MainInterface_Btn_DailyCopy_CN,aGQb,d多语言_LanguageConfig_C.csv,312,LanguageConfig,CN,,融蚀之墟,ซากปรักหักพังกร่อนสลาย,,,,,
20087,LanguageConfig_DailyCopy_Str_Title_CN,aGIM,d多语言_LanguageConfig_C.csv,319,LanguageConfig,CN,,融蚀之墟,ซากปรักหักพังกร่อนสลาย,,,,,
22269,LanguageConfig_DailyCopyRules_CN,aGIE,d多语言_LanguageConfig_C.csv,2868,LanguageConfig,CN,,1、融蚀之墟内通关对应的关卡后来获得大量唤醒体升格素材、灵知制剂和蔷薇金券!\n2、完成关卡挑战后解锁重现，重现可以立即获得该关卡的任务报酬。每次重现需消耗等同于进行调查所需的灵啡肽。\n3、在调查等级达到 25 级后解锁技能素材关卡。,1. ผ่านด่านในซากปรักหักพังกร่อนสลาย เพื่อรับวัสดุอัพเกรดผู้ปลุกตื่น สารสกัดญาณทัศนะ และคูปองกุหลาบทองคำจำนวนมาก!\n2. หลังจากผ่านด่านใดด่านหนึ่งของเลเวลนั้นสำเร็จ จะปลดล็อกโหมดลงด่วน ซึ่งจะช่วยให้คุณได้รับรางวัลสำหรับเลเวลนั้นทันที การลงด่วนแต่ละครั้งจะใช้เมโนฟินในปริมาณที่เทียบเท่ากับปริมาณที่ใช้ในการลงด่านสืบสวนปกติ\n3. สำหรับด่านวัสดุอัปเกรดสกิลจะปลดล็อกเมื่อเลเวลการสืบสวนถึง 25,,,,,
12347,FeatureUnlock_17041_FeatureName,aCqF,g功能解锁_FeatureUnlock_A.csv,51,FeatureUnlock,FeatureName,,融蚀之墟,ซากปรักหักพังกร่อนสลาย,,,,,
12348,FeatureUnlock_17041_LockTip,aCqG,g功能解锁_FeatureUnlock_A.csv,51,FeatureUnlock,LockTip,,完成 「调查行动」1-8·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-8: ปกติ",,,,,
,,,,,,,,,,,,,,
20089,LanguageConfig_DailyCopy_Str_Money_Exp_CN,aGIJ,d多语言_LanguageConfig_C.csv,321,LanguageConfig,CN,,制剂淬炼,ขัดเกลาตำรับยา,,,,,
46269,StageGroup_15940_Name,aRda,g关卡组_StageGroup_A.csv,42,StageGroup,Name,,制剂淬炼,ขัดเกลาตำรับยา,,,,,
12349,FeatureUnlock_17059_LockTip,aCrI,g功能解锁_FeatureUnlock_A.csv,52,FeatureUnlock,LockTip,,完成 「调查行动」1-8·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-8: ปกติ",,,,,
46270,StageGroup_15940_Desc,aRcZ,g关卡组_StageGroup_A.csv,42,StageGroup,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ,,,,,
46271,StageGroup_15940_TypeText,aRdc,g关卡组_StageGroup_A.csv,42,StageGroup,TypeText,,制剂淬炼,ขัดเกลาตำรับยา,,,,,
46272,StageGroup_15940_StageGroupRewardDescription,aRdb,g关卡组_StageGroup_A.csv,42,StageGroup,StageGroupRewardDescription,,<Black:灵知制剂>,<Black:สารสกัดญาณทัศนะ>,,,,,
36340,Stage_7765_Name,aUWq,g关卡_Stage_A.csv,475,Stage,Name,,制剂淬炼Ⅰ,ขัดเกลาตำรับยา I,,,,,
36341,Stage_7765_Desc,aUWp,g关卡_Stage_A.csv,475,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ,,,,,
36342,Stage_7763_Name,aUWk,g关卡_Stage_A.csv,476,Stage,Name,,制剂淬炼Ⅱ,ขัดเกลาตำรับยา II,,,,,
36343,Stage_7763_Desc,aUWj,g关卡_Stage_A.csv,476,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ,,,,,
36344,Stage_7764_Name,aUWn,g关卡_Stage_A.csv,477,Stage,Name,,制剂淬炼Ⅲ,ขัดเกลาตำรับยา III,,,,,
36345,Stage_7764_Desc,aUWm,g关卡_Stage_A.csv,477,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ,,,,,
36346,Stage_7761_Name,aUWe,g关卡_Stage_A.csv,478,Stage,Name,,制剂淬炼Ⅳ,ขัดเกลาตำรับยา V,,,,,
36347,Stage_7761_Desc,aUWd,g关卡_Stage_A.csv,478,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ,,,,,
36348,Stage_7762_Name,aUWh,g关卡_Stage_A.csv,479,Stage,Name,,制剂淬炼Ⅴ,ขัดเกลาตำรับยา V,,,,,
36349,Stage_7762_Desc,aUWg,g关卡_Stage_A.csv,479,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ,,,,,
,,,,,,,,,,,,,,
46273,StageGroup_15951_Name,aRdS,g关卡组_StageGroup_A.csv,43,StageGroup,Name,,金券搜查,เสาะหาคูปองกุหลาบทองคำ,,,,,
12350,FeatureUnlock_17057_LockTip,aCrC,g功能解锁_FeatureUnlock_A.csv,53,FeatureUnlock,LockTip,,完成 「调查行动」1-8·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-8: ปกติ",,,,,
46274,StageGroup_15951_Desc,aRdR,g关卡组_StageGroup_A.csv,43,StageGroup,Desc,,与隐秘有关或无关的生活，都离不开蔷薇金券。\n常人无法居住的融蚀废墟中，或许藏有价值连城的宝物。,ชีวิต ไม่ว่าจะยึดโยงกับความลับหรือไม่ ก็ย่อมขาดคูปองกุหลาบทองคำไปไม่ได้\nในซากปรักหักพังกร่อนสลายที่ผู้คนสามัญไม่อาจใช้ชีวิตได้ อาจมีสมบัติล้ำค่าซ่อนอยู่,,,,,
46275,StageGroup_15951_TypeText,aRdU,g关卡组_StageGroup_A.csv,43,StageGroup,TypeText,,金券搜查,เสาะหาคูปองกุหลาบทองคำ,,,,,
46276,StageGroup_15951_StageGroupRewardDescription,aRdT,g关卡组_StageGroup_A.csv,43,StageGroup,StageGroupRewardDescription,,<Black:蔷薇金券>,<Black:คูปองกุหลาบทองคำ>,,,,,
36330,Stage_7705_Name,aUQq,g关卡_Stage_A.csv,470,Stage,Name,,金券搜查Ⅰ,เสาะหาคูปองกุหลาบทองคำ I,,,,,
36331,Stage_7705_Desc,aUQp,g关卡_Stage_A.csv,470,Stage,Desc,,与隐秘有关或无关的生活，都离不开蔷薇金券。\n常人无法居住的融蚀废墟中，或许藏有价值连城的宝物。,ชีวิต ไม่ว่าจะยึดโยงกับความลับหรือไม่ ก็ย่อมขาดคูปองกุหลาบทองคำไปไม่ได้\nในซากปรักหักพังกร่อนสลายที่ผู้คนสามัญไม่อาจใช้ชีวิตได้ อาจมีสมบัติล้ำค่าซ่อนอยู่,,,,,
36332,Stage_7704_Name,aUPJ,g关卡_Stage_A.csv,471,Stage,Name,,金券搜查Ⅱ,เสาะหาคูปองกุหลาบทองคำ II,,,,,
36333,Stage_7704_Desc,aUPI,g关卡_Stage_A.csv,471,Stage,Desc,,与隐秘有关或无关的生活，都离不开蔷薇金券。\n常人无法居住的融蚀废墟中，或许藏有价值连城的宝物。,ชีวิต ไม่ว่าจะยึดโยงกับความลับหรือไม่ ก็ย่อมขาดคูปองกุหลาบทองคำไปไม่ได้\nในซากปรักหักพังกร่อนสลายที่ผู้คนสามัญไม่อาจใช้ชีวิตได้ อาจมีสมบัติล้ำค่าซ่อนอยู่,,,,,
36334,Stage_7703_Name,aUPc,g关卡_Stage_A.csv,472,Stage,Name,,金券搜查Ⅲ,เสาะหาคูปองกุหลาบทองคำ III,,,,,
36335,Stage_7703_Desc,aUPb,g关卡_Stage_A.csv,472,Stage,Desc,,与隐秘有关或无关的生活，都离不开蔷薇金券。\n常人无法居住的融蚀废墟中，或许藏有价值连城的宝物。,ชีวิต ไม่ว่าจะยึดโยงกับความลับหรือไม่ ก็ย่อมขาดคูปองกุหลาบทองคำไปไม่ได้\nในซากปรักหักพังกร่อนสลายที่ผู้คนสามัญไม่อาจใช้ชีวิตได้ อาจมีสมบัติล้ำค่าซ่อนอยู่,,,,,
36336,Stage_7702_Name,aUOv,g关卡_Stage_A.csv,473,Stage,Name,,金券搜查Ⅳ,เสาะหาคูปองกุหลาบทองคำ IV,,,,,
36337,Stage_7702_Desc,aUOu,g关卡_Stage_A.csv,473,Stage,Desc,,与隐秘有关或无关的生活，都离不开蔷薇金券。\n常人无法居住的融蚀废墟中，或许藏有价值连城的宝物。,ชีวิต ไม่ว่าจะยึดโยงกับความลับหรือไม่ ก็ย่อมขาดคูปองกุหลาบทองคำไปไม่ได้\nในซากปรักหักพังกร่อนสลายที่ผู้คนสามัญไม่อาจใช้ชีวิตได้ อาจมีสมบัติล้ำค่าซ่อนอยู่,,,,,
36338,Stage_7701_Name,aUNO,g关卡_Stage_A.csv,474,Stage,Name,,金券搜查Ⅴ,เสาะหาคูปองกุหลาบทองคำ V,,,,,
36339,Stage_7701_Desc,aUNN,g关卡_Stage_A.csv,474,Stage,Desc,,与隐秘有关或无关的生活，都离不开蔷薇金券。\n常人无法居住的融蚀废墟中，或许藏有价值连城的宝物。,ชีวิต ไม่ว่าจะยึดโยงกับความลับหรือไม่ ก็ย่อมขาดคูปองกุหลาบทองคำไปไม่ได้\nในซากปรักหักพังกร่อนสลายที่ผู้คนสามัญไม่อาจใช้ชีวิตได้ อาจมีสมบัติล้ำค่าซ่อนอยู่,,,,,
,,,,,,,,,,,,,,
12357,FeatureUnlock_17047_FeatureName,aCqX,g功能解锁_FeatureUnlock_A.csv,57,FeatureUnlock,FeatureName,,浑浊残像,เงาตกค้างไร้ระเบียบ,,,,,
12358,FeatureUnlock_17047_LockTip,aCqY,g功能解锁_FeatureUnlock_A.csv,57,FeatureUnlock,LockTip,,完成 「调查行动」1-13·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-13: ปกติ",,,,,
46277,StageGroup_15936_Name,aRcK,g关卡组_StageGroup_A.csv,44,StageGroup,Name,,浑浊残像,เงาตกค้างไร้ระเบียบ,,,,,
46278,StageGroup_15936_Desc,aRcJ,g关卡组_StageGroup_A.csv,44,StageGroup,Desc,,早在群星诞生之前，它们便存在于此。\n它们既是虚无，也是一切。,พวกมันมีอยู่นานก่อนที่ดวงดาวจะถือกำเนิด\nพวกมันเป็นทั้งความว่างเปล่าและทุกสิ่ง,,,,,
46279,StageGroup_15936_TypeText,aRcM,g关卡组_StageGroup_A.csv,44,StageGroup,TypeText,,浑浊残像,เงาตกค้างไร้ระเบียบ,,,,,
46280,StageGroup_15936_StageGroupRewardDescription,aRcL,g关卡组_StageGroup_A.csv,44,StageGroup,StageGroupRewardDescription,,<Black:升格素材>,<Black:วัสดุเลื่อนขั้นตัวละคร>,,,,,
